Date,Open,High,Low,Close,Adj. Close,Change,Volume
25-Jul-24,97.84,98.14,97.82,97.97,96.15,0.28%,"12,766,232"
24-Jul-24,97.82,98.19,97.7,97.7,95.88,-0.31%,"6,578,527"
23-Jul-24,98.1,98.18,97.98,98,96.18,-0.01%,"7,225,976"
22-Jul-24,98.12,98.2,97.86,98.01,96.19,-0.04%,"11,657,644"
19-Jul-24,98.04,98.1,97.97,98.05,96.23,-0.20%,"7,735,774"
18-Jul-24,98.37,98.56,98.21,98.25,96.42,-0.27%,"10,584,197"
17-Jul-24,98.26,98.57,98.23,98.52,96.69,0.07%,"5,680,415"
16-Jul-24,98.18,98.45,98.14,98.45,96.62,0.41%,"8,936,096"
15-Jul-24,98.15,98.28,98.03,98.05,96.23,-0.35%,"6,984,734"
12-Jul-24,98.17,98.39,98.13,98.39,96.56,0.28%,"6,329,054"
11-Jul-24,98.18,98.31,98.09,98.12,96.3,0.51%,"3,790,200"
10-Jul-24,97.61,97.67,97.49,97.62,95.81,0.10%,"4,586,211"
9-Jul-24,97.51,97.61,97.34,97.52,95.71,-0.09%,"5,004,874"
8-Jul-24,97.59,97.65,97.45,97.61,95.8,0.03%,"4,603,072"
5-Jul-24,97.45,97.63,97.31,97.58,95.77,0.50%,"3,490,062"
3-Jul-24,96.8,97.17,96.77,97.09,95.29,0.54%,"4,061,079"
2-Jul-24,96.64,96.67,96.44,96.57,94.78,0.33%,"5,441,965"
1-Jul-24,96.43,96.66,96.22,96.25,94.46,-0.84%,"12,239,104"
28-Jun-24,97.77,97.8,97.07,97.07,94.97,-0.49%,"12,781,548"
27-Jun-24,97.56,97.67,97.54,97.55,95.44,0.16%,"5,276,457"
26-Jun-24,97.43,97.49,97.37,97.39,95.28,-0.45%,"4,964,125"
25-Jun-24,97.78,97.88,97.71,97.83,95.71,-0.01%,"5,701,669"
24-Jun-24,97.82,97.86,97.72,97.84,95.72,0.08%,"5,017,272"
21-Jun-24,97.89,97.98,97.65,97.76,95.64,0.01%,"4,715,500"
20-Jun-24,97.55,97.77,97.52,97.75,95.63,-0.17%,"5,621,633"
18-Jun-24,97.7,98.04,97.68,97.92,95.8,0.36%,"7,030,650"
17-Jun-24,97.57,97.6,97.45,97.57,95.46,-0.36%,"5,265,075"
14-Jun-24,97.85,98.05,97.85,97.92,95.8,0.10%,"6,239,526"
13-Jun-24,97.7,97.93,97.58,97.82,95.7,0.50%,"7,094,817"
12-Jun-24,97.6,97.81,97.31,97.33,95.22,0.47%,"7,627,065"
11-Jun-24,96.64,96.93,96.56,96.87,94.77,0.34%,"4,650,303"
10-Jun-24,96.52,96.59,96.43,96.54,94.45,-0.08%,"8,235,950"
7-Jun-24,96.82,96.82,96.62,96.62,94.53,-0.88%,"5,364,971"
6-Jun-24,97.31,97.5,97.31,97.48,95.37,0.03%,"6,568,939"
5-Jun-24,97.29,97.45,97.04,97.45,95.34,0.31%,"4,602,541"
4-Jun-24,97,97.24,96.94,97.15,95.05,0.36%,"3,979,112"
3-Jun-24,96.4,96.8,96.38,96.8,94.71,0.29%,"6,095,674"
31-May-24,96.46,96.59,96.41,96.52,94.14,0.32%,"8,762,935"
30-May-24,96.08,96.23,96.02,96.21,93.84,0.47%,"5,568,856"
29-May-24,95.91,95.93,95.63,95.76,93.4,-0.38%,"8,249,084"
28-May-24,96.67,96.69,96.12,96.13,93.76,-0.47%,"6,046,075"
24-May-24,96.43,96.62,96.39,96.58,94.2,0.11%,"3,072,140"
23-May-24,96.83,96.83,96.37,96.47,94.09,-0.28%,"5,094,928"
22-May-24,96.66,96.89,96.65,96.74,94.35,-0.12%,"3,823,632"
21-May-24,96.92,96.95,96.83,96.86,94.47,0.19%,"5,227,948"
20-May-24,96.71,96.76,96.67,96.68,94.29,-0.09%,"5,262,987"
17-May-24,96.92,97,96.77,96.77,94.38,-0.32%,"5,267,144"
16-May-24,97.23,97.27,97.01,97.08,94.68,-0.11%,"7,894,451"
15-May-24,97.11,97.28,96.98,97.19,94.79,0.66%,"5,846,511"
14-May-24,96.5,96.64,96.42,96.55,94.17,0.27%,"5,243,275"
13-May-24,96.44,96.47,96.28,96.29,93.91,0.05%,"5,263,260"
10-May-24,96.26,96.33,96.16,96.24,93.86,-0.21%,"5,326,446"
9-May-24,96.2,96.53,96.19,96.44,94.06,0.19%,"6,732,586"
8-May-24,96.25,96.35,96.23,96.26,93.88,-0.21%,"4,587,251"
7-May-24,96.53,96.67,96.38,96.46,94.08,0.21%,"7,686,999"
6-May-24,96.21,96.33,96.15,96.26,93.88,0.07%,"10,155,471"
3-May-24,96.32,96.46,95.93,96.19,93.82,0.51%,"9,146,714"
2-May-24,95.27,95.73,95.22,95.7,93.34,0.45%,"7,607,332"
1-May-24,95.2,95.58,94.99,95.27,92.92,0.04%,"11,017,676"
30-Apr-24,95.32,95.5,95.15,95.23,92.59,-0.41%,"11,228,466"
29-Apr-24,95.6,95.67,95.45,95.62,92.97,0.30%,"7,384,591"
26-Apr-24,95.32,95.47,95.3,95.33,92.69,0.22%,"8,442,514"
25-Apr-24,94.94,95.14,94.85,95.12,92.49,-0.28%,"6,758,125"
24-Apr-24,95.38,95.47,95.2,95.39,92.75,-0.26%,"7,960,989"
23-Apr-24,95.38,95.84,95.3,95.64,92.99,0.21%,"10,837,186"
22-Apr-24,95.33,95.53,95.32,95.44,92.8,0.06%,"9,029,044"
19-Apr-24,95.53,95.55,95.33,95.38,92.74,0.10%,"9,121,718"
18-Apr-24,95.55,95.57,95.22,95.28,92.64,-0.28%,"7,717,474"
17-Apr-24,95.4,95.61,95.25,95.55,92.9,0.46%,"7,567,782"
16-Apr-24,95.01,95.18,94.9,95.11,92.48,-0.28%,"17,565,923"
15-Apr-24,95.47,95.53,95.21,95.38,92.74,-0.60%,"11,705,252"
12-Apr-24,96.08,96.2,95.96,95.96,93.3,0.19%,"17,284,702"
11-Apr-24,95.98,96.03,95.59,95.78,93.13,0.02%,"16,217,807"
10-Apr-24,96.22,96.27,95.74,95.76,93.11,-1.20%,"11,248,929"
9-Apr-24,96.83,96.98,96.83,96.92,94.24,0.34%,"5,731,034"
8-Apr-24,96.56,96.7,96.5,96.59,93.92,-0.09%,"11,201,081"
5-Apr-24,96.76,97,96.68,96.68,94,-0.49%,"12,277,742"
4-Apr-24,97.11,97.17,96.92,97.16,94.47,0.24%,"9,255,643"
3-Apr-24,96.58,96.95,96.49,96.93,94.25,0.06%,"6,918,211"
2-Apr-24,96.66,96.89,96.54,96.87,94.19,-0.07%,"10,547,678"
1-Apr-24,97.32,97.34,96.89,96.94,94.26,-1.02%,"8,628,676"
28-Mar-24,97.93,98.08,97.85,97.94,94.94,-0.12%,"8,863,332"
27-Mar-24,97.8,98.08,97.79,98.06,95.06,0.33%,"9,366,825"
26-Mar-24,97.66,97.76,97.52,97.74,94.75,0.10%,"8,830,456"
25-Mar-24,97.76,97.76,97.57,97.64,94.65,-0.18%,"11,037,736"
22-Mar-24,97.91,97.91,97.74,97.82,94.83,0.32%,"8,359,208"
21-Mar-24,97.62,97.68,97.41,97.51,94.53,0.07%,"10,100,253"
20-Mar-24,97.29,97.63,97.13,97.44,94.46,0.21%,"8,681,408"
19-Mar-24,97.15,97.34,97.11,97.24,94.27,0.25%,"5,076,659"
18-Mar-24,97.07,97.12,96.92,97,94.03,-0.10%,"5,227,228"
15-Mar-24,97.15,97.2,97.02,97.1,94.13,-0.01%,"5,756,900"
14-Mar-24,97.48,97.48,97.1,97.11,94.14,-0.63%,"10,540,886"
13-Mar-24,97.82,97.93,97.73,97.73,94.74,-0.18%,"5,846,630"
12-Mar-24,98.02,98.04,97.8,97.91,94.91,-0.25%,"7,470,976"
11-Mar-24,98.28,98.31,98.09,98.16,95.16,-0.11%,"11,348,181"
8-Mar-24,98.34,98.41,98.19,98.27,95.26,0.09%,"7,168,723"
7-Mar-24,98.22,98.24,97.97,98.18,95.18,0.21%,"7,726,663"
6-Mar-24,97.95,98.16,97.91,97.97,94.97,0.15%,"16,536,204"
5-Mar-24,97.69,97.92,97.6,97.82,94.83,0.54%,"6,815,524"
4-Mar-24,97.26,97.38,97.23,97.29,94.31,-0.25%,"7,428,243"
1-Mar-24,96.99,97.55,96.81,97.53,94.55,0.18%,"8,994,931"
29-Feb-24,97.38,97.56,97.29,97.35,94.1,0.16%,"16,774,092"
28-Feb-24,97.07,97.23,97.01,97.19,93.94,0.20%,"7,942,456"
