Date,Open,High,Low,Close,Adj. Close,Change,Volume
20-Aug-24,513.92,515.48,512.25,513.5,510.28,-0.17%,"3,155,981"
19-Aug-24,509.86,514.35,509.06,514.35,511.13,0.96%,"3,804,313"
16-Aug-24,506.84,510.11,506.65,509.45,506.26,0.21%,"3,449,286"
15-Aug-24,505.09,508.59,504.49,508.38,505.19,1.72%,"4,278,953"
14-Aug-24,498.92,500.85,496.48,499.8,496.67,0.32%,"3,700,503"
13-Aug-24,493.14,498.38,492.92,498.21,495.09,1.66%,"3,247,887"
12-Aug-24,490.94,492.35,487.98,490.07,487,0.05%,"3,578,134"
9-Aug-24,486.93,491.21,485.82,489.82,486.75,0.43%,"7,661,331"
8-Aug-24,481.49,488.27,479.64,487.73,484.67,2.33%,"4,177,234"
7-Aug-24,485.7,488.55,476.11,476.61,473.62,-0.69%,"5,976,351"
6-Aug-24,477.39,486.86,475.94,479.94,476.93,1.00%,"8,255,040"
5-Aug-24,470.17,481.18,468.89,475.2,472.22,-3.00%,"15,244,276"
2-Aug-24,492.41,493.52,485.8,489.91,486.84,-1.83%,"8,561,166"
1-Aug-24,507.84,509.9,495.75,499.03,495.9,-1.36%,"6,939,217"
31-Jul-24,504.48,508.65,503.31,505.93,502.76,1.58%,"5,367,587"
30-Jul-24,502.05,503.01,494.92,498.08,494.96,-0.52%,"3,817,800"
29-Jul-24,501.82,502.77,498.78,500.7,497.56,0.07%,"3,096,178"
26-Jul-24,498.36,502.89,497.67,500.33,497.2,1.12%,"3,635,984"
25-Jul-24,497.55,503.14,493.92,494.78,491.68,-0.50%,"5,646,601"
24-Jul-24,504.43,504.7,496.55,497.29,494.17,-2.29%,"6,157,402"
23-Jul-24,509.66,511.65,508.49,508.94,505.75,-0.17%,"3,116,045"
22-Jul-24,508.27,510.32,506.44,509.79,506.6,1.04%,"4,342,929"
19-Jul-24,507.64,509.2,503.56,504.55,501.39,-0.67%,"4,039,437"
18-Jul-24,513.25,514.19,505.87,507.94,504.76,-0.75%,"5,055,850"
17-Jul-24,513.56,515.11,511.56,511.79,508.58,-1.40%,"4,984,306"
16-Jul-24,517.33,519.4,516.6,519.04,515.79,0.57%,"4,164,300"
15-Jul-24,516.58,519.12,514.34,516.11,512.88,0.30%,"7,771,524"
12-Jul-24,512.49,518.03,512.17,514.55,511.33,0.62%,"5,238,170"
11-Jul-24,516,516.79,510.83,511.39,508.19,-0.86%,"5,546,308"
10-Jul-24,511.98,516.19,511.69,515.81,512.58,0.96%,"3,446,923"
9-Jul-24,511.21,512.01,510.54,510.89,507.69,0.11%,"3,145,823"
8-Jul-24,510.5,511.21,509.32,510.33,507.13,0.10%,"3,143,379"
5-Jul-24,507.13,510.1,506.49,509.84,506.65,0.60%,"3,156,922"
3-Jul-24,504.22,507.14,504.22,506.81,503.63,0.45%,"2,131,086"
2-Jul-24,499.69,504.61,499.61,504.53,501.37,0.65%,"4,210,083"
1-Jul-24,501.49,501.68,498.6,501.28,498.14,0.23%,"4,368,526"
28-Jun-24,502.97,505.73,499.01,500.13,497,-0.74%,"5,598,571"
27-Jun-24,503,504.48,502.32,503.85,498.91,0.16%,"3,619,655"
26-Jun-24,501.47,503.77,500.89,503.07,498.14,0.11%,"3,202,700"
25-Jun-24,501.71,502.83,500.32,502.51,497.59,0.42%,"6,336,724"
24-Jun-24,502.03,504.44,500.43,500.43,495.53,-0.27%,"7,022,844"
21-Jun-24,502.1,503.22,500.85,501.78,496.86,-0.22%,"4,347,838"
20-Jun-24,505.14,505.74,501.19,502.88,497.95,-0.28%,"4,810,867"
18-Jun-24,503.05,504.36,502.63,504.28,499.34,0.27%,"3,431,665"
17-Jun-24,498.48,504.18,497.91,502.94,498.01,0.79%,"4,609,539"
14-Jun-24,497.26,499.04,496.29,498.98,494.09,0.08%,"5,812,046"
13-Jun-24,499.3,499.45,496.06,498.58,493.7,0.19%,"8,808,879"
12-Jun-24,497.93,500.15,496.71,497.64,492.76,0.83%,"3,698,787"
11-Jun-24,490.99,493.66,489.11,493.53,488.7,0.23%,"4,028,423"
10-Jun-24,490.17,492.69,489.56,492.41,487.59,0.33%,"3,465,222"
7-Jun-24,490.55,493.53,489.54,490.8,485.99,-0.13%,"3,063,587"
6-Jun-24,491.84,492.18,489.64,491.44,486.63,-0.02%,"21,343,964"
5-Jun-24,487.87,491.55,486.06,491.55,486.73,1.20%,"3,026,146"
4-Jun-24,484,486.41,482.56,485.74,480.98,0.12%,"2,560,269"
3-Jun-24,486.3,486.41,480.4,485.15,480.4,0.11%,"4,211,256"
31-May-24,481.24,484.91,476.48,484.62,479.87,0.87%,"5,333,971"
30-May-24,482.12,482.75,479.2,480.44,475.73,-0.67%,"3,393,589"
29-May-24,483.19,484.68,482.96,483.69,478.95,-0.70%,"5,604,961"
28-May-24,487.4,487.65,484.53,487.12,482.35,0.08%,"4,034,716"
24-May-24,485.18,487.4,484.33,486.73,481.96,0.68%,"2,555,241"
23-May-24,489.91,489.99,482.29,483.44,478.7,-0.74%,"3,811,307"
22-May-24,487.79,488.43,484.94,487.06,482.29,-0.29%,"3,250,581"
21-May-24,486.53,488.58,486.35,488.48,483.69,0.27%,"2,453,576"
20-May-24,486.78,488.61,486.45,487.17,482.4,0.10%,"2,599,585"
17-May-24,486.09,486.73,484.7,486.69,481.92,0.15%,"3,274,035"
16-May-24,487.05,488.57,485.83,485.97,481.21,-0.19%,"3,347,381"
15-May-24,483.34,487.23,482.74,486.9,482.13,1.22%,"4,399,485"
14-May-24,478.98,481.47,478.48,481.04,476.33,0.47%,"3,257,724"
13-May-24,480.35,480.42,477.73,478.77,474.08,0.01%,"3,108,442"
10-May-24,479.69,480.39,477.59,478.74,474.05,0.12%,"3,347,159"
9-May-24,475.59,478.15,474.94,478.15,473.47,0.57%,"3,486,049"
8-May-24,473.59,475.86,473.5,475.42,470.76,-,"3,214,878"
7-May-24,475.7,476.64,474.71,475.4,470.74,0.14%,"3,451,302"
6-May-24,472.22,474.81,471.82,474.72,470.07,1.01%,"4,782,542"
3-May-24,469.76,471,467.44,469.98,465.38,1.24%,"4,586,859"
2-May-24,463.36,464.95,459.16,464.22,459.67,0.93%,"3,972,424"
1-May-24,460.77,467.07,459.44,459.93,455.42,-0.33%,"6,115,377"
30-Apr-24,467.42,468.34,461.36,461.43,456.91,-1.58%,"4,364,836"
29-Apr-24,468.84,469.42,466.21,468.84,464.25,0.35%,"3,253,205"
26-Apr-24,465.33,468.63,464.81,467.21,462.63,1.00%,"4,907,113"
25-Apr-24,458.77,463.46,457.26,462.58,458.05,-0.41%,"4,876,228"
24-Apr-24,465.57,466.31,462.44,464.5,459.95,-0.07%,"7,687,837"
23-Apr-24,461.18,465.13,460.67,464.84,460.29,1.26%,"4,257,400"
22-Apr-24,457.55,461.73,455.35,459.05,454.55,0.87%,"5,818,088"
19-Apr-24,458.99,459.94,453.9,455.1,450.64,-0.84%,"9,787,454"
18-Apr-24,461.36,463.3,458.21,458.94,454.44,-0.23%,"5,637,286"
17-Apr-24,465.11,465.24,458.73,459.99,455.48,-0.60%,"7,156,229"
16-Apr-24,464.05,465.51,461.59,462.78,458.25,-0.18%,"6,761,419"
