Date,Open,High,Low,Close,Adj. Close,Change,Volume
22-Jul-24,169.09,169.8,167.77,169.73,168.48,0.79%,"8,973,129"
19-Jul-24,169.66,169.88,168.01,168.4,167.16,-0.67%,"5,683,903"
18-Jul-24,170.85,172.38,169.16,169.54,168.29,-0.86%,"8,887,595"
17-Jul-24,170.81,172.19,170.66,171.01,169.75,-0.41%,"12,609,845"
16-Jul-24,169.2,171.71,169.05,171.71,170.44,1.77%,"9,921,117"
15-Jul-24,168.75,169.61,168.32,168.72,167.47,0.11%,"5,139,512"
12-Jul-24,167.82,169.36,167.73,168.53,167.29,0.88%,"11,488,490"
11-Jul-24,165.88,167.38,165.81,167.06,165.83,1.21%,"10,931,710"
10-Jul-24,164.06,165.21,163.75,165.07,163.85,0.82%,"5,327,803"
9-Jul-24,163.89,164.58,163.36,163.72,162.51,-0.17%,"4,267,858"
8-Jul-24,163.92,164.6,163.49,164,162.79,0.20%,"4,654,502"
5-Jul-24,163.66,163.84,162.73,163.68,162.47,-0.04%,"3,950,875"
3-Jul-24,164.02,164.44,163.61,163.75,162.54,0.04%,"2,745,124"
2-Jul-24,162.9,163.69,162.85,163.68,162.47,0.45%,"3,677,232"
1-Jul-24,164.8,164.96,162.74,162.95,161.75,-0.81%,"6,813,147"
28-Jun-24,164.53,165.21,163.54,164.28,163.07,0.07%,"4,760,987"
27-Jun-24,163.96,164.2,163.52,164.16,162.95,0.12%,"3,430,681"
26-Jun-24,164.01,164.13,163.41,163.96,162.75,-0.38%,"3,995,898"
25-Jun-24,165.81,165.81,164.05,164.58,163.37,-0.69%,"4,369,604"
24-Jun-24,165.29,166.57,164.86,165.72,164.5,0.08%,"7,588,727"
21-Jun-24,165.5,165.7,164.62,165.59,163.71,0.13%,"4,112,567"
20-Jun-24,165.24,165.69,165,165.38,163.5,0.06%,"5,806,798"
18-Jun-24,164.67,165.67,164.67,165.28,163.41,0.25%,"6,283,848"
17-Jun-24,163.32,165.02,163.01,164.87,163,0.73%,"4,265,789"
14-Jun-24,163.8,164.12,162.69,163.68,161.82,-0.64%,"4,557,057"
13-Jun-24,164.9,165,163.74,164.73,162.86,-0.28%,"7,385,237"
12-Jun-24,166.17,166.39,164.79,165.2,163.33,0.54%,"8,818,855"
11-Jun-24,164.25,164.56,163.32,164.32,162.46,-0.41%,"4,772,907"
10-Jun-24,163.99,165.11,163.76,165,163.13,0.27%,"5,769,696"
7-Jun-24,164.35,165.5,164.05,164.56,162.69,-0.31%,"2,865,727"
6-Jun-24,165.17,165.75,164.7,165.08,163.21,-0.19%,"6,251,211"
5-Jun-24,164.77,165.45,163.83,165.4,163.52,0.61%,"5,788,720"
4-Jun-24,164.13,164.85,163.73,164.4,162.54,-0.30%,"5,446,502"
3-Jun-24,166.1,166.12,163.6,164.9,163.03,-0.53%,"6,125,599"
31-May-24,163.94,165.83,163.32,165.78,163.9,1.33%,"4,335,215"
30-May-24,162.93,163.78,162.68,163.61,161.75,0.46%,"5,336,095"
29-May-24,163.47,163.47,162.78,162.86,161.01,-1.17%,"6,843,338"
28-May-24,165.96,166.02,164.31,164.79,162.92,-0.69%,"4,160,109"
24-May-24,165.55,166.23,165.4,165.94,164.06,0.66%,"3,252,218"
23-May-24,167.49,167.5,164.71,164.85,162.98,-1.40%,"5,841,531"
22-May-24,167.36,167.92,166.75,167.19,165.29,-0.38%,"2,841,560"
21-May-24,167.77,167.9,167.33,167.83,165.93,-0.04%,"3,751,214"
20-May-24,168.19,168.47,167.65,167.9,166,-0.08%,"3,756,350"
17-May-24,167.85,168.13,167.55,168.04,166.13,0.15%,"3,461,460"
16-May-24,168.17,168.39,167.77,167.79,165.89,-0.16%,"4,779,465"
15-May-24,167.71,168.2,167.41,168.06,166.15,0.80%,"5,739,391"
14-May-24,166.6,167.1,166.05,166.73,164.84,0.40%,"5,446,865"
13-May-24,166.66,167.15,165.94,166.07,164.19,-0.02%,"2,514,448"
10-May-24,166.4,166.55,165.85,166.11,164.23,0.16%,"3,425,085"
9-May-24,164.42,165.88,164.34,165.84,163.96,0.84%,"3,413,045"
8-May-24,163.94,164.59,163.79,164.46,162.6,-0.02%,"3,346,113"
7-May-24,164.5,164.99,164.36,164.5,162.63,0.28%,"4,511,191"
6-May-24,163.65,164.05,163.27,164.04,162.18,0.77%,"4,928,704"
3-May-24,162.97,163.53,162.13,162.79,160.94,0.71%,"9,751,402"
2-May-24,161.65,162.05,160.09,161.64,159.81,0.62%,"5,677,928"
1-May-24,160.75,162.81,160.18,160.65,158.83,-0.34%,"9,285,193"
30-Apr-24,162.85,162.95,161.17,161.2,159.37,-1.44%,"4,935,803"
29-Apr-24,162.89,163.69,162.82,163.56,161.71,0.70%,"3,882,790"
26-Apr-24,162,162.99,161.81,162.43,160.59,0.05%,"5,649,491"
25-Apr-24,161.96,162.61,160.56,162.35,160.51,-0.21%,"7,408,280"
24-Apr-24,162.2,162.86,161.78,162.69,160.85,0.14%,"4,164,025"
23-Apr-24,161.34,162.82,161.21,162.46,160.62,0.89%,"3,997,995"
22-Apr-24,160.51,161.86,159.62,161.03,159.2,0.76%,"4,775,610"
19-Apr-24,159.52,160.34,159.31,159.81,158,0.38%,"8,816,281"
18-Apr-24,159.95,160.48,158.83,159.21,157.4,-0.09%,"6,683,164"
17-Apr-24,160.47,160.6,158.87,159.36,157.55,-0.21%,"8,056,708"
16-Apr-24,160.41,160.54,159.2,159.69,157.88,-0.55%,"7,389,686"
15-Apr-24,163.65,163.8,160.03,160.58,158.76,-0.86%,"9,546,743"
12-Apr-24,163.55,163.93,161.53,161.98,160.14,-1.59%,"6,567,609"
11-Apr-24,165.01,165.26,163.54,164.59,162.72,-0.07%,"6,831,340"
10-Apr-24,165.2,165.79,164.11,164.71,162.84,-1.70%,"7,550,728"
9-Apr-24,167.46,167.77,166.05,167.56,165.66,0.40%,"5,461,349"
8-Apr-24,166.63,167.42,166.51,166.9,165.01,0.31%,"22,496,611"
5-Apr-24,165.59,166.83,165.2,166.39,164.5,0.60%,"5,696,688"
4-Apr-24,168.39,168.57,165.01,165.4,163.52,-1.02%,"7,126,143"
3-Apr-24,166.71,167.4,166.58,167.1,165.21,0.11%,"4,442,566"
2-Apr-24,167.51,167.51,166.43,166.92,165.03,-0.86%,"4,598,177"
1-Apr-24,169.6,169.67,168.24,168.37,166.46,-0.59%,"4,715,686"
28-Mar-24,169.16,169.8,168.96,169.37,167.45,0.35%,"3,728,112"
27-Mar-24,167.14,168.79,167.05,168.78,166.87,1.60%,"5,999,287"
26-Mar-24,166.8,166.99,166.06,166.12,164.24,-0.10%,"3,669,915"
25-Mar-24,166.63,167.05,166.26,166.28,164.39,-0.22%,"2,903,763"
22-Mar-24,167.8,168,166.61,166.64,164.75,-0.64%,"3,178,712"
21-Mar-24,167.34,168.18,167.16,167.72,165.82,0.68%,"6,010,945"
20-Mar-24,165.08,166.73,164.8,166.58,164.69,0.85%,"4,925,677"
19-Mar-24,164.17,165.21,164.04,165.17,163.3,0.60%,"5,789,393"
18-Mar-24,164.33,164.74,163.69,164.19,162.33,-0.14%,"4,712,591"
15-Mar-24,163.67,164.98,163.66,164.42,161.88,-0.19%,"7,973,422"
14-Mar-24,166.28,166.35,163.7,164.74,162.2,-0.90%,"7,755,215"
13-Mar-24,166.27,166.82,165.74,166.23,163.67,0.05%,"4,633,446"
12-Mar-24,166.02,166.46,165.24,166.15,163.59,0.26%,"6,357,129"
11-Mar-24,165.16,165.82,164.63,165.72,163.16,0.13%,"5,488,860"
8-Mar-24,166.16,166.72,165.28,165.51,162.96,-0.11%,"9,114,599"
7-Mar-24,165.42,165.97,165.31,165.7,163.15,0.78%,"6,407,832"
6-Mar-24,164.37,164.97,163.9,164.41,161.88,0.57%,"6,041,052"
5-Mar-24,163.96,164.67,162.87,163.48,160.96,-0.46%,"6,260,612"
4-Mar-24,163.84,164.7,163.84,164.23,161.7,0.18%,"5,165,009"
1-Mar-24,163,164,162.23,163.93,161.4,0.70%,"6,389,254"
29-Feb-24,162.89,163.22,162.11,162.79,160.28,0.41%,"6,298,471"
28-Feb-24,161.67,162.49,161.49,162.12,159.62,0.04%,"4,296,805"
